firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Pau,Gasol,Chicago Bulls,34,84,250,13.0,6501,40,159,25.2,12654,51.4,75.1,932,33179,18.3,425,4,14,28.6,885,48.0,73.6,60,1884,0.004792187829651286,0.007430997876857749,450479.68454935617,27789.0,19.434850019358517
Rudy,Gay,Sacramento Kings,28,80,230,8.0,4278,628,1829,34.3,9497,45.0,78.9,613,22040,18.4,537,65,197,33.0,1179,45.5,82.2,73,2531,0.08298548094373866,0.07783484788621098,341458.20554649265,40877.38356164384,32.52976216279825
Alonzo,Gee,Denver Nuggets,27,78,225,5.0,824,159,486,32.7,1953,42.2,76.9,301,7012,7.7,98,19,58,32.8,236,41.5,70.5,65,1020,0.06930975470621792,0.056862745098039215,45496.46511627907,3703.384615384615,26.873343366934442
Paul,George,Indiana Pacers,24,81,220,4.0,1530,483,1341,36.0,3572,42.8,82.8,286,9093,15.3,577,182,500,36.4,1362,42.4,86.4,80,2898,0.14747608050148467,0.1725327812284334,113567.11888111886,49338.45,38.00366254050776
Taj,Gibson,Chicago Bulls,29,81,225,5.0,1493,1,19,5.3,3065,48.7,68.7,393,9640,9.2,429,0,7,0.0,896,47.9,75.1,82,2351,0.001970954356846473,0.002977456401531264,75182.1882951654,25688.9756097561,6.589459719100498
Manu,Ginobili,San Antonio Spurs,37,78,205,12.0,3874,1222,3309,36.9,8604,45.0,83.1,821,22204,14.6,294,90,258,34.9,627,46.9,85.1,68,1550,0.14902720230589084,0.1664516129032258,232695.75639464066,14291.911764705883,35.91002973644164
Rudy,Gobert,Utah Jazz,22,85,245,1.0,101,0,1,0.0,180,56.1,57.7,75,988,3.6,36,0,0,0.0,74,48.6,49.2,45,434,0.0010121457489878543,0.0,2371.2,713.6888888888889,2.270288856177686
Ryan,Gomes,Boston Celtics,31,79,245,7.0,1891,334,956,34.9,4249,44.5,79.9,487,13463,10.1,3,0,2,0.0,8,37.5,0.0,5,34,0.0710094332615316,0.05882352941176471,117462.60164271046,54.40000000000001,30.22533942277473
Drew,Gooden,Washington Wizards,33,82,250,12.0,3321,65,260,25.0,7132,46.6,75.9,727,19199,11.5,76,7,17,41.2,143,53.1,88.9,22,395,0.01354237199854159,0.043037974683544304,188345.62310866575,2567.5,16.901303049601257
Archie,Goodwin,Phoenix Suns,20,77,198,1.0,87,7,43,16.3,203,42.9,67.6,62,615,3.7,76,5,36,13.9,167,45.5,67.3,52,533,0.06991869918699188,0.0675422138836773,2013.6290322580649,1711.75,21.070989875930355
Ben,Gordon,Orlando Magic,31,75,205,10.0,3885,1158,2877,40.3,8969,43.3,85.7,718,20049,15.3,37,8,29,27.6,108,34.3,81.0,19,279,0.14349842884931918,0.1039426523297491,250444.95961002784,1585.8947368421052,42.28964502255816
Eric,Gordon,New Orleans Pelicans,26,76,215,6.0,1887,537,1461,36.8,4283,44.1,80.7,323,11021,17.2,356,101,258,39.1,817,43.6,78.5,64,2057,0.13256510298521004,0.12542537676227514,146139.1424148607,26258.890625,35.77760116154534
Marcin,Gortat,Washington Wizards,30,83,240,7.0,1906,3,14,21.4,3506,54.4,68.2,467,11462,9.6,455,1,1,100.0,840,54.2,68.6,81,2655,0.001221427325074158,0.00037664783427495286,86050.90364025696,27533.33333333333,6.432658378516594
Danny,Granger,Miami Heat,31,81,222,9.0,3291,987,2593,38.1,7569,43.5,84.8,567,18084,17.2,116,43,128,33.6,307,37.8,94.0,41,848,0.1433864189338642,0.1509433962264151,241407.04761904766,6349.658536585366,37.42980550195743
Aaron,Gray,Detroit Pistons,29,84,270,7.0,440,0,3,0.0,864,50.9,56.2,318,3850,3.4,27,0,1,0.0,61,44.3,55.0,37,354,0.0007792207792207793,0.002824858757062147,10460.377358490565,583.6216216216218,0.0
Danny,Green,San Antonio Spurs,27,78,215,5.0,891,501,1184,42.3,2014,44.2,81.3,272,6514,9.2,218,132,318,41.5,505,43.2,79.4,68,1651,0.18176235799815785,0.192610539067232,48232.33823529412,12261.10294117647,41.149605489240095
