firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Damion,James,Washington Wizards,26,79,225,4.0,61,0,6,0.0,147,41.5,66.7,39,624,3.8,2,0,2,0.0,9,22.2,100.0,5,50,0.009615384615384616,0.04,2352.0,90.0,1.238370340834657
LeBron,James,Cleveland Cavaliers,29,80,250,11.0,8577,1182,3456,34.2,17270,49.7,74.7,870,34332,27.5,767,116,306,37.9,1353,56.7,75.0,77,2902,0.10066410346032856,0.10544452101998622,681509.9310344828,50992.285714285725,34.666948721422855
Mike,James,Chicago Bulls,39,74,188,12.0,2139,687,1813,37.9,5132,41.7,80.2,595,14363,9.9,5,1,5,20.0,21,23.8,0.0,11,77,0.12622711132771705,0.06493506493506493,123883.89243697477,147.0,31.47858180201097
Antawn,Jamison,Atlanta Hawks,37,81,235,15.0,7679,1163,3365,34.6,17024,45.1,72.4,1083,37637,18.5,29,8,41,19.5,92,31.5,72.0,22,248,0.08940670085288413,0.16532258064516128,591627.2280701754,1037.090909090909,32.17156398508153
Othyus,Jeffers,Minnesota Timberwolves,29,77,210,3.0,46,1,6,16.7,100,46.0,66.7,37,442,3.8,3,0,2,0.0,6,50.0,75.0,6,47,0.013574660633484163,0.0425531914893617,1194.5945945945946,47.0,9.594689057796687
Al,Jefferson,Charlotte Hornets,29,82,289,10.0,5336,6,58,10.3,10661,50.1,71.3,732,22801,17.1,700,3,15,20.0,1376,50.9,69.0,73,2553,0.0025437480812245078,0.005875440658049354,332078.49863387976,48122.30136986302,10.359638754844768
Richard,Jefferson,Dallas Mavericks,34,79,234,13.0,4738,860,2287,37.6,10189,46.5,77.1,960,30308,14.3,294,123,301,40.9,654,45.0,74.1,82,2213,0.07545862478553518,0.1360144600090375,321675.22083333327,17650.024390243903,32.529175202893384
John,Jenkins,Atlanta Hawks,23,76,215,2.0,152,58,159,36.5,347,43.8,85.3,77,1087,5.5,16,4,18,22.2,42,38.1,100.0,13,158,0.14627414903403865,0.1139240506329114,4898.558441558442,510.46153846153845,38.02738441100221
Brandon,Jennings,Detroit Pistons,25,73,169,5.0,2313,736,2109,34.9,5945,38.9,80.2,397,13544,16.4,423,154,457,33.7,1135,37.3,75.1,80,2728,0.15571470761961015,0.16752199413489735,202818.84130982368,38703.5,40.621403622111764
Jonas,Jerebko,Detroit Pistons,27,82,231,4.0,798,140,422,33.2,1699,47.0,76.1,283,5709,7.4,98,31,74,41.9,208,47.1,72.9,64,741,0.07391837449640917,0.09986504723346827,34274.173144876324,2408.25,26.057156978043245
Amir,Johnson,Toronto Raptors,27,81,240,9.0,1692,36,112,32.1,2956,57.2,69.2,538,11941,7.5,344,20,66,30.3,612,56.2,63.6,77,2214,0.009379448957373752,0.029810298102981032,65608.91449814128,17596.987012987014,23.67133189814951
Chris,Johnson,Philadelphia 76ers,24,78,201,2.0,115,59,184,32.1,299,38.5,83.0,57,1079,5.8,85,43,127,33.9,214,39.7,86.0,40,789,0.1705282669138091,0.16096324461343473,5660.017543859649,4221.15,35.234026877406464
James,Johnson,Toronto Raptors,27,81,250,5.0,789,72,277,26.0,1716,46.0,71.0,298,5534,6.6,143,22,87,25.3,308,46.4,84.4,52,956,0.050054210336104084,0.0910041841004184,31866.92617449664,5662.461538461539,20.070006769875935
Joe,Johnson,Brooklyn Nets,33,79,240,13.0,6749,1637,4394,37.3,15222,44.3,79.9,1009,36636,17.5,462,162,404,40.1,1018,45.4,81.5,79,2575,0.11993667430942245,0.15689320388349515,552698.9018830525,33181.645569620254,37.57639977329846
Orlando,Johnson,Sacramento Kings,24,77,220,1.0,108,45,141,31.9,293,36.9,72.4,96,1011,3.2,36,9,47,19.1,113,31.9,73.1,45,392,0.1394658753709199,0.11989795918367345,3085.65625,984.3555555555556,32.20576506150339
Wesley,Johnson,Los Angeles Lakers,27,79,215,4.0,968,344,987,34.9,2373,40.8,75.6,303,7633,8.2,277,100,271,36.9,651,42.5,79.2,79,2240,0.12930695663566094,0.12098214285714284,59779.237623762376,18458.734177215192,32.64907574511316
Darius,Johnson-Odom,Philadelphia 76ers,25,74,215,1.0,0,0,4,0.0,11,0.0,0.0,7,21,0.0,0,0,3,0.0,7,0.0,0.0,3,15,0.19047619047619047,0.2,33.0,35.0,5.412899866172581
James,Jones,Cleveland Cavaliers,34,80,215,11.0,1042,654,1621,40.3,2598,40.1,84.8,568,9682,5.6,31,28,54,51.9,68,45.6,63.6,20,236,0.16742408593265853,0.2288135593220339,44284.92253521127,802.4,36.63426718099626
Perry,Jones,Oklahoma City Thunder,23,83,235,2.0,168,33,100,33.0,386,43.5,66.7,116,1401,3.7,83,22,61,36.1,181,45.9,66.7,62,765,0.07137758743754463,0.07973856209150326,4661.948275862069,2233.3064516129034,25.694973282734757
Solomon,Jones,Chicago Bulls,30,82,235,8.0,301,1,9,11.1,645,46.7,71.7,281,3093,3.0,6,0,0,0.0,17,35.3,50.0,11,85,0.002909796314258002,0.0,7099.590747330961,131.36363636363637,7.7692177625707455
Terrence,Jones,Houston Rockets,22,81,255,2.0,454,39,127,30.7,854,53.2,62.0,99,2471,10.9,386,31,101,30.7,712,54.2,60.5,76,2078,0.05139619587211655,0.04860442733397498,21315.49494949495,19467.578947368416,22.335786407855238
DeAndre,Jordan,Los Angeles Clippers,26,83,265,6.0,1464,0,6,0.0,2233,65.6,42.6,464,11696,7.5,348,0,0,0.0,515,67.6,42.8,82,2870,0.0005129958960328316,0.0,56287.0,18025.0,1.1111883211721079
Cory,Joseph,San Antonio Spurs,23,75,190,3.0,310,31,103,30.1,660,47.0,78.2,154,2318,5.3,126,12,38,31.6,265,47.5,82.3,68,936,0.04443485763589301,0.0405982905982906,9934.285714285714,3647.6470588235293,26.498820605024083
Chris,Kaman,Portland Trail Blazers,32,84,265,11.0,3256,0,20,0.0,6687,48.7,74.2,675,18702,11.6,176,0,3,0.0,346,50.9,76.5,39,736,0.0010694043417816274,0.004076086956521739,185274.48,6529.641025641025,3.982996021319612
Enes,Kanter,Utah Jazz,22,83,245,3.0,920,11,33,33.3,1815,50.7,74.0,246,4902,9.0,419,0,1,0.0,853,49.1,73.0,80,2138,0.006731946144430846,0.00046772684752104766,36167.19512195122,22796.425,27.6962509799015
Sergey,Karasev,Brooklyn Nets,21,79,208,1.0,47,14,50,28.0,112,42.0,87.1,38,446,3.6,12,4,19,21.1,35,34.3,90.0,22,156,0.11210762331838564,0.1217948717948718,1314.5263157894735,248.18181818181816,32.133560148227346
Ryan,Kelly,Los Angeles Lakers,23,83,230,1.0,160,49,143,34.3,378,42.3,82.0,62,1336,7.8,157,48,142,33.8,371,42.3,81.5,59,1312,0.10703592814371256,0.10823170731707316,8145.290322580645,8250.033898305084,31.2750130511428
Michael,Kidd-Gilchrist,Charlotte Hornets,21,79,232,2.0,501,3,18,16.7,1079,46.4,68.6,157,3949,8.3,167,1,9,11.1,353,47.3,61.4,62,1502,0.004558115978728792,0.005992010652463382,27139.94267515924,8551.709677419354,15.809489940969462
Andrei,Kirilenko,Philadelphia 76ers,33,81,235,12.0,3146,367,1185,31.0,6637,47.4,75.4,797,23916,11.8,82,1,5,20.0,160,51.2,51.3,45,857,0.04954841946813848,0.005834305717619603,199159.96486825595,3047.111111111111,26.75695516849708
Brandon,Knight,Milwaukee Bucks,23,75,189,3.0,1323,394,1089,36.2,3161,41.9,79.2,244,7887,15.1,461,110,338,32.5,1092,42.2,80.2,72,2400,0.13807531380753138,0.14083333333333334,102175.43852459015,36400.0,38.7305094710399
Kyle,Korver,Atlanta Hawks,33,79,212,11.0,2873,1594,3716,42.9,6526,44.0,88.3,839,21731,10.0,289,185,392,47.2,609,47.5,92.6,71,2409,0.17099995398278955,0.1627231216272312,169030.40047675805,20663.112676056342,44.26630127060803
Kosta,Koufos,Memphis Grizzlies,25,84,265,6.0,878,0,3,0.0,1648,53.3,61.0,372,5567,5.4,227,0,0,0.0,459,49.5,64.5,80,1349,0.0005388898868331237,0.0,24662.40860215053,7739.8875,3.5662109711057157
Viacheslav,Kravtsov,Phoenix Suns,27,83,254,1.0,41,0,0,0.0,61,67.2,33.3,45,283,2.2,8,0,0,0.0,15,53.3,50.0,20,59,0.0,0.0,383.62222222222226,44.25,0.0
Ognjen,Kuzmic,Golden State Warriors,24,84,260,1.0,10,0,0,0.0,22,45.5,45.5,33,150,0.8,5,0,0,0.0,13,38.5,45.5,21,92,0.0,0.0,100.0,56.95238095238096,0.0
Doron,Lamb,Dallas Mavericks,22,76,200,2.0,123,50,127,39.4,323,38.1,70.0,100,1273,3.5,63,36,90,40.0,160,39.4,80.6,53,695,0.0997643362136685,0.12949640287769784,4111.79,2098.1132075471696,33.93917947694497
Jeremy,Lamb,Oklahoma City Thunder,22,77,185,2.0,363,123,354,34.7,862,42.1,85.8,125,2194,7.7,263,88,247,35.6,609,43.2,79.7,78,1538,0.16134913400182316,0.16059817945383614,15129.823999999999,12008.230769230771,39.7035221212719
Carl,Landry,Sacramento Kings,31,81,248,7.0,1848,3,17,17.6,3458,53.4,78.8,437,10301,11.3,31,0,0,0.0,60,51.7,82.4,18,233,0.0016503252111445491,0.0,81512.26086956523,776.6666666666667,13.512181184095008
Shane,Larkin,New York Knicks,22,71,175,1.0,115,30,80,37.5,284,40.5,78.0,77,1154,3.9,52,12,38,31.6,137,38.0,64.0,48,489,0.06932409012131716,0.07770961145194273,4256.311688311688,1395.6875,33.20283180537464
Ty,Lawson,Denver Nuggets,27,71,195,5.0,1873,360,975,36.9,4007,46.7,77.7,370,11362,14.2,347,72,202,35.6,806,43.1,79.8,62,2222,0.08581235697940504,0.09090909090909093,123047.38918918918,28886.0,32.734209632779674
Ricky,Ledo,Dallas Mavericks,22,79,195,1.0,6,3,8,37.5,18,33.3,100.0,13,35,1.5,6,3,8,37.5,17,35.3,100.0,11,33,0.22857142857142854,0.24242424242424246,48.46153846153846,51.0,46.60709523644332
Courtney,Lee,Memphis Grizzlies,29,77,200,6.0,1740,484,1246,38.8,3843,45.3,84.8,471,12597,9.6,295,72,194,37.1,614,48.0,88.4,79,1973,0.098912439469715,0.0983274201723264,102781.8917197452,15334.455696202533,35.37160247526974
David,Lee,Golden State Warriors,31,81,245,9.0,4019,1,27,3.7,7534,53.3,78.1,651,21086,15.2,513,0,1,0.0,981,52.3,78.0,69,2288,0.0012804704543298872,0.00043706293706293706,244027.5330261137,32529.391304347828,8.172409478172337
Alex,Len,Phoenix Suns,21,85,255,1.0,107,1,2,50.0,216,49.5,69.1,73,951,3.7,33,0,0,0.0,78,42.3,64.5,42,362,0.002103049421661409,0.0,2813.917808219178,672.2857142857142,34.60014257259179
Kawhi,Leonard,San Antonio Spurs,23,79,230,3.0,919,194,526,36.9,1846,49.8,79.8,210,5975,11.3,337,69,182,37.9,645,52.2,80.2,66,1923,0.08803347280334728,0.09464378575143004,52523.095238095244,18792.954545454548,32.745383993546014
Meyers,Leonard,Portland Trail Blazers,22,85,245,2.0,207,11,32,34.4,404,51.2,80.2,120,1679,4.3,41,0,6,0.0,91,45.1,76.2,40,355,0.019058963668850508,0.016901408450704224,5652.633333333332,807.625,28.497653468503934
Jon,Leuer,Memphis Grizzlies,25,82,228,3.0,315,32,82,39.0,651,48.4,69.4,151,1852,4.9,121,23,49,46.9,246,49.2,78.7,49,642,0.044276457883369334,0.0763239875389408,7984.450331125828,3223.1020408163263,25.71695346604446
Rashard,Lewis,Dallas Mavericks,34,82,235,16.0,5644,1787,4625,38.6,12479,45.2,80.5,1049,33541,14.9,98,46,134,34.3,236,41.5,78.8,60,971,0.13789093944724368,0.1380020597322348,399006.8055290753,3819.2666666666655,40.28133083098452
DeAndre,Liggins,Miami Heat,26,78,209,2.0,34,7,23,30.4,73,46.6,48.6,57,406,1.6,1,0,0,0.0,1,100.0,0.0,1,1,0.056650246305418726,0.0,519.9649122807017,1.0,21.165153903416737
Damian,Lillard,Portland Trail Blazers,24,75,195,2.0,1337,488,1269,38.5,3090,43.3,86.4,195,7212,20.2,553,218,554,39.4,1304,42.4,87.1,82,2937,0.1759567387687188,0.18862785154919987,114282.46153846155,46705.46341463415,41.717429356370346
Jeremy,Lin,Los Angeles Lakers,26,75,200,4.0,994,222,649,34.2,2263,43.9,80.3,247,6728,11.7,295,82,229,35.8,662,44.6,82.3,71,2054,0.09646254458977407,0.11148977604673807,61641.55465587045,19151.38028169014,31.231364903890828
Shaun,Livingston,Golden State Warriors,29,79,182,9.0,1367,10,51,19.6,2916,46.9,80.0,495,11284,6.9,235,1,6,16.7,487,48.3,82.7,76,1974,0.004519673874512584,0.00303951367781155,66473.01818181817,12649.184210526317,18.81284441180895
Brook,Lopez,Brooklyn Nets,26,84,275,6.0,2504,0,7,0.0,4914,51.0,79.0,361,11858,17.8,129,0,1,0.0,229,56.3,81.7,17,533,0.0005903187721369539,0.001876172607879925,161413.32963988918,7179.823529411765,4.984575049546614
Robin,Lopez,Portland Trail Blazers,26,84,255,6.0,1385,0,2,0.0,2617,52.9,76.0,431,8921,8.1,355,0,1,0.0,644,55.1,81.8,82,2604,0.0002241901132160072,0.0003840245775729647,54167.649651972155,20450.92682926829,6.293947437173452
Kevin,Love,Cleveland Cavaliers,26,82,243,6.0,2476,488,1353,36.1,5504,45.0,81.7,393,12983,19.0,650,190,505,37.6,1421,45.7,82.1,77,2797,0.10421320187938073,0.18055058991776904,181828.07124681934,51617.36363636363,33.32057841500948
Kyle,Lowry,Toronto Raptors,28,72,205,8.0,2111,653,1868,35.0,5012,42.1,79.3,536,15577,12.2,457,190,500,38.0,1080,42.3,81.3,79,2862,0.11992039545483725,0.17470300489168414,145656.57462686565,39126.07594936709,35.3190730437486
John,Lucas,Washington Wizards,32,71,166,6.0,411,154,444,34.7,1077,38.2,75.5,216,2644,4.8,62,25,84,29.8,190,32.6,62.5,42,591,0.16792738275340394,0.14213197969543148,13183.277777777776,2673.5714285714284,32.636714416701125
Shelvin,Mack,Atlanta Hawks,24,75,207,3.0,399,107,330,32.4,966,41.3,77.7,194,3058,5.3,209,62,184,33.7,501,41.7,86.5,73,1490,0.1079136690647482,0.12348993288590605,15226.948453608247,10225.890410958904,31.48728269025421
Ian,Mahinmi,Indiana Pacers,28,83,250,6.0,510,0,6,0.0,993,51.4,63.5,326,4750,4.4,91,0,1,0.0,189,48.1,62.1,77,1248,0.001263157894736842,0.0008012820512820513,14468.558282208589,3063.2727272727275,1.4149980865654672
Shawn,Marion,Cleveland Cavaliers,36,79,228,15.0,7240,790,2378,33.2,14943,48.5,81.1,1135,39674,15.5,341,58,162,35.8,708,48.2,78.5,76,2409,0.05993849876493421,0.06724782067247821,522333.55242290744,22441.736842105263,30.80842411642965
Kendall,Marshall,Milwaukee Bucks,23,76,200,2.0,260,110,291,37.8,646,40.2,57.1,122,2574,5.4,170,71,178,39.9,419,40.6,52.8,54,1564,0.11305361305361306,0.11381074168797956,13629.540983606556,12135.481481481482,31.43014168295641
Cartier,Martin,Detroit Pistons,30,79,220,6.0,424,216,572,37.8,1074,39.5,72.9,229,3247,5.3,111,59,151,39.1,264,42.0,73.8,59,870,0.17616261164151525,0.1735632183908046,15228.288209606988,3892.881355932203,33.53782347491996
Kenyon,Martin,New York Knicks,37,81,225,14.0,3866,66,282,23.4,8009,48.3,62.9,746,23030,12.5,63,0,1,0.0,123,51.2,57.9,32,633,0.012244897959183671,0.001579778830963665,247248.3512064343,2433.09375,15.48430247919056
Kevin,Martin,Minnesota Timberwolves,31,79,204,10.0,3482,1043,2696,38.7,7873,44.2,86.9,629,19430,17.9,440,115,297,38.7,1023,43.0,89.1,68,2177,0.13875450334534226,0.13642627468994029,243199.34817170113,32751.04411764706,38.90809099094188
Roger,Mason Jr.,Sacramento Kings,33,77,205,10.0,1196,594,1549,38.3,2933,40.8,86.6,518,9146,6.3,25,17,48,35.4,67,37.3,100.0,25,260,0.1693636562431664,0.18461538461538465,51786.135135135126,696.8000000000002,37.95285081309835
Wesley,Matthews,Portland Trail Blazers,28,77,220,5.0,2010,806,2042,39.5,4513,44.5,82.7,412,13236,14.2,445,201,511,39.3,1009,44.1,83.7,82,2780,0.15427621637957087,0.18381294964028774,144985.60194174756,34207.560975609755,38.7032932652523
Jason,Maxiell,Charlotte Hornets,31,79,260,9.0,1336,0,5,0.0,2678,49.9,56.2,575,10702,5.8,47,0,0,0.0,105,44.8,48.4,34,488,0.00046720239207624745,0.0,49843.40173913043,1507.058823529412,0.7481527774687324
Eric,Maynor,Philadelphia 76ers,26,75,175,4.0,440,111,317,35.0,1122,39.2,72.1,267,3895,4.3,32,12,37,32.4,101,31.7,54.5,31,327,0.08138639281129653,0.11314984709480122,16367.752808988766,1065.3870967741937,30.887616210581193
Ray Jr.,McCallum,Sacramento Kings,23,75,190,1.0,137,27,78,34.6,361,38.0,75.5,62,1103,5.5,113,22,59,37.3,300,37.7,74.4,45,897,0.07071622846781506,0.06577480490523968,6422.3064516129025,5980.0,28.962999657630206
CJ,McCollum,Portland Trail Blazers,23,76,200,1.0,103,47,118,39.8,253,40.7,69.6,55,712,5.3,74,30,80,37.5,178,41.6,67.6,38,476,0.16573033707865167,0.16806722689075632,3275.2,2229.684210526316,37.91491185651819
JaVale,McGee,Denver Nuggets,26,84,270,6.0,1335,1,5,20.0,2465,54.2,58.6,373,7513,8.6,17,0,0,0.0,38,44.7,100.0,5,80,0.000665513110608279,0.0,49650.254691689006,608.0,14.165192484236238
Ben,McLemore,Sacramento Kings,21,77,195,1.0,391,148,431,34.3,964,40.6,80.2,112,3187,9.7,255,95,297,32.0,679,37.6,80.4,82,2187,0.1352368999058676,0.13580246913580246,27430.964285714286,18109.42682926829,37.17372204218787
Josh,McRoberts,Miami Heat,27,82,240,7.0,815,171,495,34.5,1705,47.8,70.7,367,7290,5.7,247,105,291,36.1,566,43.6,72.9,78,2360,0.06790123456790123,0.12330508474576272,33867.71117166212,17125.128205128203,26.881770446403998
Jodie,Meeks,Detroit Pistons,27,76,210,5.0,1182,566,1511,37.5,2790,42.4,87.7,362,8804,9.7,413,162,404,40.1,892,46.3,85.7,77,2556,0.17162653339391185,0.15805946791862285,67854.03314917129,29609.766233766237,40.104419349439915
Gal,Mekel,New Orleans Pelicans,25,75,191,1.0,33,5,23,21.7,106,31.1,66.7,35,335,2.3,30,5,20,25.0,86,34.9,66.7,31,292,0.06865671641791045,0.0684931506849315,1014.5714285714287,810.0645161290323,18.676906937301567
Khris,Middleton,Milwaukee Bucks,23,79,225,2.0,540,166,412,40.3,1227,44.0,85.0,137,3594,10.4,376,120,290,41.4,854,44.0,86.1,82,2460,0.11463550361713967,0.11788617886178862,32188.598540145987,25620.0,36.49539566771532
Andre,Miller,Washington Wizards,38,74,200,15.0,5881,184,850,21.6,12790,46.0,80.8,1213,38913,13.1,106,11,21,52.4,231,45.9,77.9,58,982,0.0218435998252512,0.02138492871690428,410302.7782357791,3911.0689655172414,19.874841045775266
Darius,Miller,New Orleans Pelicans,24,80,225,2.0,118,47,134,35.1,281,42.0,84.1,102,1460,3.1,73,25,77,32.5,166,44.0,80.6,45,723,0.09178082191780823,0.10650069156293222,4022.1568627450984,2667.0666666666666,30.95244557883896
Mike,Miller,Cleveland Cavaliers,34,80,218,14.0,3967,1548,3782,40.9,8593,46.2,76.9,931,26866,11.6,213,107,233,45.9,443,48.1,82.1,82,1707,0.14077272388893025,0.13649677797305212,247969.42857142852,9221.963414634149,39.271122403523336
Quincy,Miller,Denver Nuggets,22,81,210,2.0,98,30,95,31.6,268,36.6,70.2,59,815,4.5,94,30,94,31.9,256,36.7,70.9,52,789,0.1165644171779141,0.11913814955640052,3702.0338983050847,3884.307692307693,30.3344146929335
Patty,Mills,San Antonio Spurs,26,72,185,5.0,630,260,641,40.6,1389,45.4,84.7,229,3265,7.3,309,135,318,42.5,666,46.4,89.0,81,1527,0.1963246554364472,0.2082514734774067,19803.86462882096,12555.333333333332,43.166007288975734
Paul,Millsap,Atlanta Hawks,29,80,253,8.0,3293,137,411,33.3,6520,50.5,72.1,644,18307,13.3,483,76,212,35.8,1047,46.1,73.1,74,2482,0.022450428797727646,0.0854149879129734,185344.16149068324,35116.945945945954,24.596252882086624
Tony,Mitchell,Phoenix Suns,22,81,235,1.0,5,1,1,100.0,12,41.7,57.9,21,79,1.0,5,1,1,100.0,12,41.7,57.9,21,79,0.012658227848101266,0.012658227848101266,45.14285714285714,45.14285714285714,53.6422338063246
Nazr,Mohammed,Chicago Bulls,37,82,250,16.0,2389,0,8,0.0,4914,48.6,64.0,983,15786,5.9,54,0,0,0.0,126,42.9,53.3,80,562,0.0005067781578613962,0.0,78913.94099694812,885.15,3.0264393833503043
Greg,Monroe,Detroit Pistons,24,83,250,4.0,1879,0,7,0.0,3714,50.6,68.5,336,10465,14.0,504,0,1,0.0,1015,49.7,65.7,82,2690,0.0006688963210702341,0.0003717472118959108,115675.625,33296.9512195122,5.719230068528818
E'Twaun,Moore,Chicago Bulls,25,76,191,3.0,485,144,408,35.3,1190,40.8,78.3,207,3613,5.9,195,57,161,35.4,456,42.8,76.5,79,1506,0.11292554663714365,0.10690571049136786,20770.38647342995,8692.860759493671,33.53545052617684
Darius,Morris,Brooklyn Nets,23,76,195,3.0,136,41,118,34.7,341,39.9,64.0,102,1205,3.5,39,12,38,31.6,96,40.6,65.4,27,313,0.0979253112033195,0.12140575079872205,4028.4803921568628,1112.888888888889,30.186477504990528
Marcus,Morris,Phoenix Suns,25,81,235,3.0,644,236,623,37.9,1500,42.9,67.7,207,4194,8.4,288,99,260,38.1,651,44.2,76.1,82,1800,0.14854554124940392,0.14444444444444446,30391.304347826088,14290.243902439026,34.10353234299711
Markieff,Morris,Phoenix Suns,25,82,245,3.0,1042,145,439,33.0,2323,44.9,77.4,257,6159,10.6,411,34,108,31.5,845,48.6,79.2,81,2153,0.0712778048384478,0.05016256386437529,55670.64980544747,22460.3086419753,27.671637996580024
Anthony,Morrow,Oklahoma City Thunder,29,77,210,6.0,1528,590,1382,42.7,3387,45.1,88.3,397,9454,10.4,238,88,195,45.1,520,45.8,82.8,76,1426,0.14618151047175798,0.13674614305750352,80656.67002518891,9756.842105263158,39.69237579184512
Donatas,Motiejunas,Houston Rockets,24,84,255,2.0,347,58,213,27.2,752,46.1,61.2,134,2262,6.6,131,21,84,25.0,296,44.3,60.4,62,952,0.09416445623342176,0.08823529411764706,12694.20895522388,4545.032258064516,22.699360371355375
Arnett,Moultrie,Philadelphia 76ers,24,82,240,2.0,94,0,0,0.0,172,54.7,66.7,59,729,3.6,16,0,0,0.0,38,42.1,80.0,12,187,0.0,0.0,2125.2203389830506,592.1666666666666,1.8788776627344614
Luc Richard Mbah a,Moute,Philadelphia 76ers,28,80,230,6.0,1072,42,157,26.8,2361,45.4,67.5,426,10171,6.5,87,4,17,23.5,193,45.1,68.7,64,1003,0.015436043653524727,0.01694915254237288,56370.26056338028,3024.671875,19.286285776298197
Timofey,Mozgov,Denver Nuggets,28,85,250,4.0,600,6,31,19.4,1160,51.7,74.0,242,4128,6.4,285,4,24,16.7,545,52.3,75.4,82,1770,0.0075096899224806205,0.013559322033898305,19787.10743801653,11764.024390243903,12.46599898557336
Shabazz,Muhammad,Minnesota Timberwolves,22,78,227,1.0,206,13,36,36.1,425,48.5,68.2,66,920,8.0,57,3,11,27.3,124,46.0,65.0,37,290,0.0391304347826087,0.03793103448275862,5924.242424242424,971.891891891892,26.61277385946239
Byron,Mullens,Philadelphia 76ers,25,84,275,5.0,557,111,348,31.9,1366,40.8,70.6,189,3447,7.4,73,33,89,37.1,165,44.2,50.0,45,414,0.1009573542210618,0.21497584541062806,24913.23809523809,1518.0,25.504609245571388
Erik,Murphy,Boston Celtics,24,82,230,1.0,3,0,3,0.0,13,23.1,0.0,24,62,0.2,3,0,3,0.0,13,23.1,0.0,24,62,0.04838709677419355,0.04838709677419355,33.58333333333333,33.58333333333333,0.0
Toure',Murry,Utah Jazz,25,77,195,1.0,56,5,12,41.7,129,43.4,59.0,51,372,2.7,56,5,12,41.7,129,43.4,59.0,51,372,0.03225806451612903,0.03225806451612903,940.9411764705882,940.9411764705882,25.201040383326056
Mike,Muscala,Atlanta Hawks,23,83,230,1.0,50,1,6,16.7,104,48.1,94.7,29,300,4.1,31,0,3,0.0,73,42.5,100.0,20,215,0.02,0.013953488372093023,1075.8620689655172,784.75,18.695630673494357
Steve,Nash,Los Angeles Lakers,40,75,180,18.0,6321,1685,3939,42.8,12892,49.0,90.4,1217,38069,14.3,36,8,24,33.3,94,38.3,91.7,15,313,0.10347001497281252,0.07667731629392971,403274.89564502885,1961.466666666667,41.316885139936446
Hamady,Ndiaye,Brooklyn Nets,26,84,235,3.0,7,0,0,0.0,15,46.7,46.2,33,157,0.6,3,0,0,0.0,9,33.3,0.0,14,74,0.0,0.0,71.36363636363636,47.57142857142858,0.0
Gary,Neal,Charlotte Hornets,30,76,210,4.0,1030,396,1014,39.1,2432,42.4,84.2,281,6080,10.0,193,68,180,37.8,471,41.0,89.5,52,1114,0.1667763157894737,0.1615798922800718,52621.209964412825,10090.269230769232,36.6447475276482
Nemanja,Nedovic,Golden State Warriors,23,75,197,1.0,8,3,18,16.7,39,20.5,87.5,24,142,1.1,8,3,18,16.7,39,20.5,87.5,24,142,0.1267605633802817,0.1267605633802817,230.75,230.75,25.48316952450424
Jameer,Nelson,Boston Celtics,32,72,190,10.0,3176,916,2454,37.3,7220,44.0,81.7,678,19708,12.3,294,136,391,34.8,747,39.4,85.7,68,2179,0.12451796224883295,0.1794401101422671,209869.85250737466,23936.95588235294,36.929619755424774
,Nene,Washington Wizards,32,83,250,12.0,3312,3,32,9.4,6079,54.5,67.2,702,20480,12.5,299,1,5,20.0,594,50.3,58.3,53,1560,0.0015625,0.003205128205128205,177347.46438746442,17483.77358490566,7.708148568942404
Andrew,Nicholson,Orlando Magic,25,81,250,2.0,450,29,92,31.5,949,47.4,80.6,165,2534,6.4,180,28,89,31.5,420,42.9,82.5,76,1174,0.036306235201262825,0.075809199318569,14574.339393939397,6487.894736842104,23.08748312764031
Joakim,Noah,Chicago Bulls,29,83,232,7.0,1867,0,12,0.0,3750,49.8,72.4,499,14887,9.8,380,0,2,0.0,800,47.5,73.7,80,2820,0.0008060724121716934,0.0007092198581560284,111876.25250501002,28200.0,5.110669941197722
Steve,Novak,Utah Jazz,31,82,225,8.0,727,556,1287,43.2,1656,43.9,87.6,428,5460,4.9,60,52,122,42.6,146,41.1,100.0,54,540,0.2357142857142857,0.2259259259259259,21125.60747663552,1460.0,45.09177463049501
Dirk,Nowitzki,Dallas Mavericks,36,84,245,16.0,9604,1508,3954,38.1,20168,47.6,87.9,1217,43456,22.5,633,131,329,39.8,1273,49.7,89.9,80,2628,0.09098858615611193,0.1251902587519026,720148.4042728018,41818.05,37.294831749066944
Kyle,O'Quinn,Orlando Magic,24,82,250,2.0,345,7,22,31.8,684,50.4,71.7,144,2187,5.6,186,0,3,0.0,371,50.1,68.7,69,1188,0.010059442158207593,0.002525252525252525,10388.25,6387.652173913043,23.330649452112443
Greg,Oden,Miami Heat,26,84,273,4.0,317,0,0,0.0,552,57.4,65.8,105,2028,8.0,27,0,0,0.0,49,55.1,56.5,23,212,0.0,0.0,10661.485714285714,451.6521739130435,0.0
Victor,Oladipo,Orlando Magic,22,76,210,1.0,520,95,280,33.9,1221,42.6,77.4,104,3276,13.9,392,74,226,32.7,936,41.9,78.0,80,2487,0.08547008547008547,0.09087253719340573,38461.5,29097.9,31.02786092277867
