Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
58,Marcin Gortat,WAS,"$10,434,782","$11,217,391","$12,000,000","$12,782,609","$13,565,218",,Bird Rights,"$60,000,000"
59,Gerald Wallace,BOS,"$10,105,855","$10,105,855",,,,,Bird Rights,"$20,211,710"
60,Tim Duncan,SAS,"$10,000,000",,,,,,Bird Rights,"$10,000,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
61,Jrue Holiday,NOP,"$9,904,495","$10,595,507","$11,286,518",,,,Bird Rights,"$31,786,520"
62,Luol Deng,MIA,"$9,714,461","$10,151,612",,,,,Cap Space,"$9,714,461"
63,Anderson Varejao,CLE,"$9,704,595","$9,638,554","$10,361,446","$10,000,000",,,Bird Rights,"$28,704,595"
64,Steve Nash,LAL,"$9,701,000",,,,,,,"$9,701,000"
65,Kendrick Perkins,UTA,"$9,654,342",,,,,,,"$9,154,342"
66,DeMar DeRozan,TOR,"$9,500,000","$9,500,000","$9,500,000",,,,Bird Rights,"$19,000,000"
67,Paul Millsap,ATL,"$9,500,000",,,,,,Cap Space,"$9,500,000"
68,Jeff Green,MEM,"$9,445,000","$9,445,000",,,,,Bird Rights,"$9,200,000"
69,Thaddeus Young,BRK,"$9,410,870","$9,971,739",,,,,Bird Rights,"$9,160,870"
70,Tyrus Thomas,CHO,"$9,388,000",,,,,,,
71,Tiago Splitter,SAS,"$9,250,000","$8,500,000","$8,250,000",,,,Bird Rights,"$26,000,000"
72,Jordan Hill,LAL,"$9,000,000","$9,000,000",,,,,Cap Space,"$9,000,000"
73,Lance Stephenson,CHO,"$9,000,000","$9,000,000","$9,400,000",,,,Cap Space,"$18,000,000"
74,Mike Conley,MEM,"$8,894,216","$9,588,426",,,,,Cap Space,"$18,082,642"
75,Trevor Ariza,HOU,"$8,579,089","$8,193,030","$7,806,971","$7,420,912",,,Bird Rights,"$32,000,000"
76,Marcus Thornton,PHO,"$8,575,000",,,,,,Cap Space,"$8,575,000"
77,Ryan Anderson,NOP,"$8,491,500","$8,500,000",,,,,Bird Rights,"$16,991,500"
78,Andray Blatche,WAS,"$8,471,339",,,,,,,
79,Omer Asik,NOP,"$8,374,646",,,,,,Cap Space,"$8,374,646"
80,Jeremy Lin,LAL,"$8,374,646",,,,,,Cap Space,"$8,374,646"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
81,Monta Ellis,DAL,"$8,360,000","$8,720,000",,,,,Cap Space,"$8,360,000"
82,Channing Frye,ORL,"$8,175,476","$7,807,579","$7,456,238",,,,Cap Space,"$32,000,000"
83,O.J. Mayo,MIL,"$8,000,000","$8,000,000",,,,,Cap Space,"$16,000,000"
84,George Hill,IND,"$8,000,000","$8,000,000","$8,000,000",,,,Bird Rights,"$24,000,000"
85,Brandon Jennings,DET,"$8,000,000","$8,344,497",,,,,Bird Rights,"$16,344,497"
86,Taj Gibson,CHI,"$8,000,000","$8,500,000","$8,950,000",,,,Bird Rights,"$25,450,000"
87,Jeff Teague,ATL,"$8,000,000","$8,000,000","$8,000,000",,,,Bird Rights,"$24,000,000"
88,Dirk Nowitzki,DAL,"$7,974,482","$8,333,334","$8,692,184",,,,Cap Space,"$16,307,816"
89,Ersan Ilyasova,MIL,"$7,900,000","$7,900,000","$8,400,000",,,,Bird Rights,"$16,200,000"
90,Brendan Haywood,DAL,"$7,798,000",,,,,,,
91,Arron Afflalo,POR,"$7,750,000","$7,937,500",,,,,Bird Rights,"$7,312,500"
92,Tayshaun Prince,DET,"$7,707,865",,,,,,Bird Rights,"$7,707,865"
93,Boris Diaw,SAS,"$7,500,000","$7,000,000","$6,500,000","$7,000,000",,,Bird Rights,"$17,500,000"
94,Goran Dragic,MIA,"$7,500,000","$7,500,000",,,,,Cap Space,"$7,500,000"
95,Josh Childress,PHO,"$7,317,500",,,,,,,
96,Wesley Matthews,POR,"$7,245,640",,,,,,MLE,"$6,107,640"
97,Isaiah Thomas,BOS,"$7,238,606","$6,912,869","$6,587,132","$6,261,395",,,,"$27,000,002"
98,Avery Bradley,BOS,"$7,191,011","$7,730,337","$8,269,663","$8,808,989",,,Bird Rights,"$32,000,000"
99,Pau Gasol,CHI,"$7,128,000","$7,448,760","$7,769,520",,,,Cap Space,"$14,576,760"
100,Jose Calderon,NYK,"$7,097,191","$7,402,812","$7,708,427",,,,Cap Space,"$22,208,430"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
101,Kyrie Irving,CLE,"$7,070,730","$14,746,000","$15,851,950","$16,957,900","$18,063,850",,Early Bird Rights,"$72,690,430"
102,Amir Johnson,TOR,"$7,000,000",,,,,,Bird Rights,"$7,000,000"
103,Manu Ginobili,SAS,"$7,000,000",,,,,,Bird Rights,"$7,000,000"
104,Marvin Williams,CHO,"$7,000,000","$7,000,000",,,,,,"$14,000,000"
105,Brandon Bass,BOS,"$6,900,000",,,,,,Bird Rights,"$6,900,000"
106,Kevin Martin,MIN,"$6,792,500","$7,085,000","$7,377,500",,,,Bird Rights,"$13,877,500"
107,Wilson Chandler,DEN,"$6,757,913","$7,171,663",,,,,Bird Rights,"$8,757,913"
108,Drew Gooden,MIL,"$6,680,000",,,,,,,
109,Jason Richardson,PHI,"$6,601,125",,,,,,Bird Rights,"$6,601,125"
110,Glen Davis,ORL,"$6,600,000",,,,,,,"$6,600,000"
111,Mike Miller,MIA,"$6,600,000",,,,,,,
112,J.J. Redick,LAC,"$6,583,500","$6,867,000","$7,150,500",,,,Bird Rights,"$20,601,000"
113,Luis Scola,HOU,"$6,541,000",,,,,,,
114,J.R. Smith,CLE,"$6,516,000","$6,399,750",,,,,Early Bird Rights,"$6,516,000"
115,Carl Landry,SAC,"$6,500,000","$6,500,000","$6,500,000",,,,Cap Space,"$19,500,000"
116,Greivis Vasquez,TOR,"$6,400,000","$6,600,000",,,,,Bird Rights,"$13,000,000"
117,Derrick Williams,SAC,"$6,331,404",,,,,,1st Round Pick,"$6,331,404"
118,Jarrett Jack,BRK,"$6,300,000","$6,300,000","$6,300,000",,,,Cap Space,"$13,100,000"
119,Kyle Korver,ATL,"$6,253,521","$5,746,479","$5,239,437",,,,Bird Rights,"$17,239,437"
120,Landry Fields,TOR,"$6,250,000",,,,,,Cap Space,"$6,250,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
121,Luis Scola,HOU,"$6,172,538",,,,,,,
122,Robin Lopez,POR,"$6,124,728",,,,,,Bird Rights,"$5,340,229"
123,Jason Thompson,SAC,"$6,037,500","$6,431,250","$6,825,000",,,,Bird Rights,"$15,118,750"
124,Jodie Meeks,DET,"$6,000,000","$6,270,000","$6,540,000",,,,Cap Space,"$18,800,000"
125,Gerald Henderson,CHO,"$6,000,000","$6,000,000",,,,,Bird Rights,"$6,000,000"
126,Chuck Hayes,TOR,"$5,958,750",,,,,,Cap Space,"$5,958,750"
127,Jason Terry,HOU,"$5,850,313",,,,,,MLE,"$5,850,313"
128,Patrick Patterson,TOR,"$5,831,326","$6,268,675","$6,050,000",,,,Bird Rights,"$18,150,001"
129,P.J. Tucker,PHO,"$5,700,000","$5,500,000","$5,300,000",,,,Cap Space,"$12,700,000"
130,Enes Kanter,OKC,"$5,694,674",,,,,,1st Round Pick,"$5,694,674"
131,Anthony Davis,NOP,"$5,607,240","$7,070,730",,,,,1st Round Pick,"$5,607,240"
132,Anthony Bennett,MIN,"$5,563,920","$5,803,560","$7,318,289",,,,1st Round Pick,"$11,367,480"
133,Andrew Wiggins,MIN,"$5,510,640","$5,758,680","$6,006,600","$7,574,322",,,1st Round Pick,"$11,269,320"
134,Greg Monroe,DET,"$5,479,934",,,,,,,"$5,479,934"
135,Lou Williams,TOR,"$5,450,000",,,,,,MLE,"$5,450,000"
136,Courtney Lee,MEM,"$5,450,000","$5,675,000",,,,,Bird Rights,"$11,125,000"
137,Jamal Crawford,LAC,"$5,450,000","$5,675,000",,,,,MLE,"$6,950,000"
138,Martell Webster,WAS,"$5,381,750","$5,613,500","$5,845,250",,,,MLE,"$10,995,250"
139,J.J. Hickson,DEN,"$5,381,750","$5,613,500",,,,,MLE,"$10,995,250"
140,Chris Andersen,MIA,"$5,375,000","$5,000,000",,,,,Cap Space,"$10,375,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
141,Paul Pierce,WAS,"$5,305,000","$5,543,725",,,,,MLE,"$5,305,000"
142,Josh McRoberts,MIA,"$5,305,000","$5,543,725","$5,782,450","$6,021,175",,,MLE,"$16,631,175"
143,Spencer Hawes,LAC,"$5,305,000","$5,543,725","$5,782,450","$6,021,175",,,MLE,"$16,631,175"
144,Shaun Livingston,GSW,"$5,305,000","$5,543,725","$5,782,450",,,,MLE,"$13,848,725"
145,Nikola Mirotic,CHI,"$5,305,000","$5,543,725","$5,782,450",,,,Cap Space,"$16,631,175"
146,Zaza Pachulia,MIL,"$5,200,000","$5,200,000",,,,,Cap Space,"$10,400,000"
147,Tristan Thompson,CLE,"$5,138,430",,,,,,1st Round Pick,"$5,138,430"
148,Ricky Rubio,MIN,"$5,070,686","$12,365,000","$13,292,375","$14,219,750","$15,147,125",,1st Round Pick,"$60,094,936"
149,Michael Kidd-Gilchrist,CHO,"$5,016,960","$6,331,404",,,,,1st Round Pick,"$11,348,364"
150,Trevor Booker,UTA,"$5,000,000","$4,775,000",,,,,Cap Space,"$5,250,000"
151,Brandan Wright,PHO,"$5,000,000",,,,,,Early Bird Rights,"$5,000,000"
152,Chase Budinger,MIN,"$5,000,000","$5,000,000",,,,,Bird Rights,"$5,000,000"
153,Nick Young,LAL,"$4,994,420","$5,219,169","$5,443,918","$5,668,667",,,Cap Space,"$15,657,507"
154,Victor Oladipo,ORL,"$4,978,200","$5,192,520","$6,552,960",,,,1st Round Pick,"$10,170,720"
155,Jabari Parker,MIL,"$4,930,560","$5,152,440","$5,374,320","$6,782,392",,,1st Round Pick,"$10,083,000"
156,Luis Scola,IND,"$4,868,499",,,,,,Cap Space,"$4,868,499"
157,Tony Allen,MEM,"$4,831,461","$5,168,539","$5,505,618",,,,Bird Rights,"$15,505,618"
158,Chris Kaman,POR,"$4,800,000","$5,000,000",,,,,MLE,"$5,800,000"
159,Kostas Papanikolaou,HOU,"$4,800,000","$4,600,000",,,,,MLE,"$4,800,000"
160,Darren Collison,SAC,"$4,797,664","$5,013,559","$5,229,454",,,,MLE,"$15,040,677"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
161,Corey Brewer,HOU,"$4,702,500","$4,905,000",,,,,Cap Space,"$4,702,500"
162,Timofey Mozgov,CLE,"$4,650,000","$4,950,000",,,,,Bird Rights,"$4,650,000"
163,Andre Miller,SAC,"$4,625,000",,,,,,Bird Rights,"$4,625,000"
164,Bradley Beal,WAS,"$4,505,280","$5,694,674",,,,,1st Round Pick,"$10,199,954"
165,Ben Gordon,ORL,"$4,500,000","$4,500,000",,,,,Cap Space,"$4,500,000"
166,Caron Butler,DET,"$4,500,000","$4,500,000",,,,,,"$4,500,000"
167,Jonas Jerebko,BOS,"$4,500,000",,,,,,Early Bird Rights,"$4,500,000"
168,Otto Porter,WAS,"$4,470,480","$4,662,960","$5,893,981",,,,1st Round Pick,"$9,133,440"
169,Joel Embiid,PHI,"$4,427,640","$4,626,960","$4,826,160","$6,100,266",,,1st Round Pick,"$9,054,600"
170,Luc Mbah a Moute,PHI,"$4,382,576",,,,,,Bird Rights,"$4,382,576"
171,Kris Humphries,WAS,"$4,300,000","$4,600,000","$4,600,000",,,,Bird Rights,"$13,500,000"
172,Jared Dudley,MIL,"$4,250,000","$4,250,000",,,,,Bird Rights,"$4,250,000"
173,C.J. Miles,IND,"$4,205,000","$4,394,225","$4,583,450","$4,772,675",,,MLE,"$13,182,675"
174,Thabo Sefolosha,ATL,"$4,150,000","$4,000,000","$3,850,000",,,,,"$12,000,000"
175,Dion Waiters,OKC,"$4,062,000","$5,138,430",,,,,1st Round Pick,"$4,062,000"
176,Cody Zeller,CHO,"$4,030,560","$4,204,200","$5,318,313",,,,1st Round Pick,"$8,234,760"
177,Danny Green,SAS,"$4,025,000",,,,,,Early Bird,"$4,025,000"
178,Mario Chalmers,MIA,"$4,000,000","$4,300,000",,,,,Bird Rights,"$8,300,000"
179,Ian Mahinmi,IND,"$4,000,000","$4,000,000",,,,,Early Bird Rights,"$8,000,000"
180,Travis Outlaw,BRK,"$4,000,000",,,,,,,
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
181,Aaron Gordon,ORL,"$3,992,040","$4,171,680","$4,351,320","$5,504,420",,,1st Round Pick,"$8,163,720"
182,Vince Carter,MEM,"$3,911,981","$4,088,091","$4,264,057",,,,,"$10,000,072"
183,Kevin Seraphin,WAS,"$3,898,692",,,,,,1st Round Pick,"$3,898,692"
184,Devin Harris,DAL,"$3,878,000","$4,053,000","$4,228,000","$4,403,000",,,,"$16,562,000"
185,Bismack Biyombo,CHO,"$3,873,398",,,,,,1st Round Pick,"$3,873,398"
186,Samuel Dalembert,NYK,"$3,867,282",,,,,,,"$1,800,000"
187,Patrick Mills,SAS,"$3,842,105","$3,578,947","$3,578,948",,,,Bird Rights,"$11,000,000"
188,Al Harrington,ORL,"$3,805,000",,,,,,,"$3,805,000"
189,Joel Anthony,DET,"$3,800,000",,,,,,Bird Rights,"$3,800,000"
190,Raymond Felton,DAL,"$3,793,693","$3,950,313",,,,,Cap Space,"$3,793,693"
191,Mo Williams,CHO,"$3,750,000",,,,,,MLE,"$3,750,000"
192,Jonas Valanciunas,TOR,"$3,678,360","$4,660,482",,,,,1st Round Pick,"$8,338,842"
193,Thomas Robinson,PHI,"$3,678,360",,,,,,1st Round Pick,"$3,678,360"
194,Marreese Speights,GSW,"$3,657,500","$3,815,000",,,,,MLE,"$3,657,500"
195,Alex Len,PHO,"$3,649,920","$3,807,120","$4,823,621",,,,1st Round Pick,"$7,457,040"
196,Dante Exum,UTA,"$3,615,000","$3,777,720","$3,940,320","$4,992,385",,,1st Round Pick,"$7,392,720"
197,Brandon Knight,PHO,"$3,553,917",,,,,,1st Round Pick,"$3,553,917"
198,Gerald Green,PHO,"$3,500,000",,,,,,Cap Space,"$3,500,000"
199,Darrell Arthur,DEN,"$3,457,149",,,,,,Bird Rights,"$3,457,149"
200,Steve Novak,OKC,"$3,445,946","$3,750,000",,,,,Early Bird,"$7,195,946"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
201,Matt Barnes,LAC,"$3,396,250","$3,542,500",,,,,MLE,"$3,396,250"
202,Mirza Teletovic,BRK,"$3,368,100",,,,,,Mini MLE,"$3,368,100"
203,Damian Lillard,POR,"$3,340,920","$4,236,287",,,,,1st Round Pick,"$7,577,207"
204,Mike Scott,ATL,"$3,333,333","$3,333,333","$3,333,334",,,,,"$6,666,666"
205,Tyler Hansbrough,TOR,"$3,326,235",,,,,,MLE,"$3,326,235"
206,Andrei Kirilenko,PHI,"$3,326,235",,,,,,,"$3,326,235"
207,Mike Dunleavy,CHI,"$3,326,235",,,,,,Mini MLE,"$3,326,235"
208,Nerlens Noel,PHI,"$3,315,120","$3,457,800","$4,384,490",,,,1st Round Pick,"$6,772,920"
209,Marcus Smart,BOS,"$3,283,320","$3,431,040","$3,578,880","$4,538,020",,,1st Round Pick,"$6,669,360"
210,Alexey Shved,NYK,"$3,282,056",,,,,,Cap Space,"$3,282,056"
211,Jason Smith,NYK,"$3,278,000",,,,,,Mini MLE,"$3,278,000"
212,Bojan Bogdanovic,BRK,"$3,278,000","$3,425,510","$3,573,020",,,,MLE,"$10,276,530"
213,Evan Turner,BOS,"$3,278,000","$3,425,510",,,,,MLE,"$6,703,510"
214,Kemba Walker,CHO,"$3,272,091","$12,000,000","$12,000,000","$12,000,000","$12,000,000",,1st Round Pick,"$51,272,091"
215,Gary Neal,MIN,"$3,250,000",,,,,,Cap Space,"$3,250,000"
216,Carlos Boozer,LAL,"$3,250,000",,,,,,,"$3,250,000"
217,Anthony Morrow,OKC,"$3,200,000","$3,344,000","$3,488,000",,,,Cap Space,"$6,544,000"
218,Dorell Wright,POR,"$3,150,000",,,,,,Cap Space,"$3,150,000"
219,Quincy Pondexter,NOP,"$3,146,068","$3,382,023","$3,617,978","$3,853,931",,,1st Round Pick,"$14,000,000"
220,Chris Copeland,IND,"$3,135,000",,,,,,MLE,"$3,135,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
221,Randy Foye,DEN,"$3,135,000","$3,270,000",,,,,Non Bird Rights,"$6,405,000"
222,Klay Thompson,GSW,"$3,075,880","$15,500,000","$16,662,500","$17,825,500","$18,987,500",,1st Round Pick,"$72,051,380"
223,Harrison Barnes,GSW,"$3,049,920","$3,873,398",,,,,1st Round Pick,"$6,923,318"
224,Alec Burks,UTA,"$3,034,356","$9,213,484","$9,904,495","$10,595,506","$11,286,515",,1st Round Pick,"$44,034,356"
225,Ben McLemore,SAC,"$3,026,280","$3,156,600","$4,008,882",,,,1st Round Pick,"$6,182,880"
226,Joel Freeland,POR,"$3,013,512",,,,,,Cap Space,"$2,567,512"
227,Travis Outlaw,PHI,"$3,000,000",,,,,,,"$3,000,000"
228,Furkan Aldemir,PHI,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",,,Minimum Salary,
229,D.J. Augustin,OKC,"$3,000,000","$3,000,000",,,,,,"$6,000,000"
230,Jerryd Bayless,MIL,"$3,000,000","$3,000,000",,,,,Cap Space,"$6,000,000"
231,Kosta Koufos,MEM,"$3,000,000",,,,,,Bird Rights,"$3,000,000"
232,Anthony Tolliver,DET,"$3,000,000","$3,000,000",,,,,Cap Space,"$3,400,000"
233,Julius Randle,LAL,"$2,997,360","$3,132,240","$3,267,120","$4,149,242",,,1st Round Pick,"$6,129,600"
234,Markieff Morris,PHO,"$2,989,239","$8,000,000","$8,000,000","$8,000,000","$8,000,000",,Bird Rights,"$34,989,239"
235,Marcus Morris,PHO,"$2,943,221","$5,000,000","$5,000,000","$5,000,000","$5,000,000",,Bird Rights,"$22,943,221"
236,Will Bynum,BOS,"$2,915,908",,,,,,,"$2,915,908"
237,Kawhi Leonard,SAS,"$2,894,059",,,,,,1st Round Pick,"$2,894,059"
238,Marco Belinelli,SAS,"$2,873,750",,,,,,MLE,"$2,873,750"
239,Terrence Ross,TOR,"$2,793,960","$3,553,917",,,,,1st Round Pick,"$6,347,877"
240,Kentavious Caldwell-Pope,DET,"$2,772,480","$2,891,760","$3,678,319",,,,1st Round Pick,"$2,772,480"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
241,Nikola Vucevic,ORL,"$2,751,260",,,,,,1st Round Pick,"$2,751,260"
242,Luke Ridnour,ORL,"$2,750,000","$2,750,000",,,,,Cap Space,"$2,750,000"
243,Nik Stauskas,SAC,"$2,745,840","$2,869,440","$2,993,040","$3,807,146",,,1st Round Pick,"$5,615,280"
244,Udonis Haslem,MIA,"$2,732,000","$2,854,940",,,,,MLE,"$5,586,940"
245,Jameer Nelson,DEN,"$2,732,000","$2,854,940",,,,,Room Exception,"$2,732,000"
246,Mike Miller,CLE,"$2,732,000","$2,854,940",,,,,Room Exception,"$2,732,000"
247,Brian Roberts,CHO,"$2,732,000","$2,854,940",,,,,Room Exception,"$5,586,940"
248,Kirk Hinrich,CHI,"$2,730,000","$2,870,000",,,,,Room Exception,"$2,730,000"
249,Iman Shumpert,CLE,"$2,616,975",,,,,,1st Round Pick,"$2,616,975"
250,Andre Drummond,DET,"$2,568,360","$3,272,091",,,,,1st Round Pick,"$2,568,360"
251,Trey Burke,UTA,"$2,548,560","$2,658,240","$3,386,598",,,,1st Round Pick,"$2,548,560"
252,Noah Vonleh,CHO,"$2,524,200","$2,637,720","$2,751,360","$3,505,233",,,1st Round Pick,"$5,161,920"
253,James Johnson,TOR,"$2,500,000","$2,500,000",,,,,Cap Space,"$5,000,000"
254,DeMarre Carroll,ATL,"$2,442,455",,,,,,Cap Space,"$2,442,455"
255,Austin Rivers,LAC,"$2,439,840","$3,110,796",,,,,1st Round Pick,"$2,439,840"
256,Shelvin Mack,ATL,"$2,433,333","$2,433,333","$2,433,334",,,,Cap Space,"$4,866,666"
257,C.J. McCollum,POR,"$2,421,000","$2,525,160","$3,219,579",,,,1st Round Pick,"$4,946,160"
